สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2566,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,จังหวัด,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. งบประมาณรายจ่ายประจำปี 66,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณ
,,,,,,"5,434", แห่ง,,,"5,347", แห่ง,,,"5,640", แห่ง
30,กระบี่ เมืองกระบี่ อบต.เขาทอง,กระบี่,เมืองกระบี่,อบต.,อบต.เขาทอง,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
31,กระบี่ เมืองกระบี่ อบต.คลองประสงค์,กระบี่,เมืองกระบี่,อบต.,อบต.คลองประสงค์,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
32,กระบี่ เมืองกระบี่ อบต.ทับปริก,กระบี่,เมืองกระบี่,อบต.,อบต.ทับปริก,1,"  2,400,000 ","  2,400,000 ",  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
33,กระบี่ เมืองกระบี่ อบต.ไสไทย,กระบี่,เมืองกระบี่,อบต.,อบต.ไสไทย,3,"  8,658,000 ","  8,658,000 ",  -   ,3 ,"  8,658,000 ","  8,658,000 ",  -   ,3 ,"  6,696,700 "
34,กระบี่ เมืองกระบี่ อบต.หนองทะเล,กระบี่,เมืองกระบี่,อบต.,อบต.หนองทะเล,2,"  3,412,000 ","  3,412,000 ",  -   ,2 ,"  3,412,000 ","  3,412,000 ",  -   ,3 ,"  3,430,700 "
35,กระบี่ เมืองกระบี่ อบต.อ่าวนาง,กระบี่,เมืองกระบี่,อบต.,อบต.อ่าวนาง,10,"  58,564,100 ","  55,779,100 ","  2,785,000 ",8 ,"  30,689,100 ","  29,357,100 ","  1,332,000 ",2 ,"  12,006,700 "
36,กระบี่ ลำทับ ทต.ลำทับ,กระบี่,ลำทับ,ทต.,ทต.ลำทับ,6,"  10,495,000 ","  10,495,000 ",  -   ,5 ,"  10,095,000 ","  10,095,000 ",  -   ,2 ,"  5,284,000 "
37,กระบี่ ลำทับ อบต.ดินแดง,กระบี่,ลำทับ,อบต.,อบต.ดินแดง,8,"  61,484,000 ","  61,484,000 ",  -   ,5 ,"  31,991,000 ","  31,991,000 ",  -   ,2 ,"  5,928,700 "
38,กระบี่ ลำทับ อบต.ดินอุดม,กระบี่,ลำทับ,อบต.,อบต.ดินอุดม,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
39,กระบี่ ลำทับ อบต.ทุ่งไทรทอง,กระบี่,ลำทับ,อบต.,อบต.ทุ่งไทรทอง,9,"  49,559,000 ","  49,559,000 ",  -   ,9 ,"  31,544,000 ","  31,544,000 ",  -   ,2 ,"  6,621,700 "
40,กระบี่ ลำทับ อบต.ลำทับ,กระบี่,ลำทับ,อบต.,อบต.ลำทับ,2,"  9,460,000 ","  9,460,000 ",  -   ,2 ,"  9,460,000 ","  9,460,000 ",  -   ,2 ,"  5,418,700 "
